dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds005166	race	string	2. What race do you consider yourself to be?  Select one or more of the following.	7	1	America Indian/Alaska Native, Asian, Black or African American, More than One Race, Unknown, White or Caucasian		True											Alyssa				
ds005166	sex	string	Sex at birth of the participant.	2	0	F, M		True			nb:Sex								Alyssa				
ds005166	SST	Int64	Does the participant have trial-level behavioral task data for the stop-signal task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	no term available	Alyssa				
ds005237	age	Float64		189	0			False	18.08	68.33	nb:Age								Alyssa			nb:FromFloat	
ds005237	Group	string		2	0			True			nb:Diagnosis								Alyssa				
ds005237	participant_id	string		245	0			False			nb:ParticipantID								Alyssa				
ds005237	sex	string		3	0			True			nb:Sex								Alyssa				
ds005237	Site	Int64		2	0			True	1	2									Alyssa				
ds005237	species	string		1	0			True											Alyssa				
ds005270	age	Int64	age of the participant	63	0		years	False	20	86	nb:Age								Alyssa			nb:FromFloat	
ds005270	dwi	Int64	diffusion-weighted imaging available	2	0			True	0	1									Alyssa				
ds005270	gng	Int64	go/no-go BOLD fMRI available	1	0			True	1	1		nb:Assessment	n/a	n/a	not found	medium	correct	no term available	Alyssa				
ds005270	nbk	Int64	n-back task BOLD fMRI available	1	0			True	1	1		nb:Assessment	n/a	n/a	not found	medium	correct	no term available	Alyssa				
ds005270	participant_id	string	participant id number	158	0			False			nb:ParticipantID								Alyssa				
ds005270	perf	Int64	perfusion (pASL) imaging available	2	0			True	0	1									Alyssa				
ds005270	rest	Int64	resting state BOLD fMRI available	2	0			True	0	1									Alyssa				
ds005270	sex	string	sex of the participant as reported by the participant	2	0	m, f		True			nb:Sex								Alyssa				
ds005270	t1w	Int64	t1-weighted MP-RAGE imaging available	1	0			True	1	1									Alyssa				
ds005270	t2w	Int64	t2-weighted FLAIR imaging available	1	0			True	1	1									Alyssa				
ds005270	tsw	Int64	task switching BOLD fMRI available	2	0			True	0	1									Alyssa				
ds005280	Age	Int64	Chronological age of the participant	14	0		years	False	16	32	nb:Age								Alyssa			nb:FromFloat	
ds005280	Gender	string	Biological sex of the participant	2	0	M, F		True			nb:Sex								Alyssa				
ds005280	ID	Int64	Subject number at the time of research	223	0			False	1	223									Alyssa				
ds005280	participant_id	string		223	0			False			nb:ParticipantID								Alyssa				
ds005280	Pre_ID	Int64	Subject number at the time of raw data acquisition	223	0			False	204	525									Alyssa				
ds005292	Age	Int64	Chronological age of the participant	19	0		years	False	17	50	nb:Age								Alyssa			nb:FromFloat	
ds005292	Gender	string	Biological sex of the participant	2	0	M, F		True			nb:Sex								Alyssa				
ds005292	ID	Int64	Subject number at the time of research	142	0			False	1	142									Alyssa				
ds005292	participant_id	string		142	0			False			nb:ParticipantID								Alyssa				
ds005292	Pre_ID	Int64	Subject number at the time of raw data acquisition	142	0			False	1	159									Alyssa				
ds005305	Age	Int64	Participant age (years)	19	0		years	False	18	36	nb:Age								Alyssa			nb:FromFloat	
ds005305	Comment	string		13	141			False											Alyssa				
ds005305	EducationLevel	Int64		9	0			True	12	20									Alyssa				
ds005305	Gender	string	Participant gender	2	0	man, woman		True			nb:Sex								Alyssa				
ds005305	Handedness	string		2	0			True											Alyssa				
ds005305	Inclusion	Int64		2	0			True	0	1									Alyssa				
ds005305	NativeLanguage	string		2	0	french, other		True											Alyssa				
ds005305	participant_id	string	Unique participant label	165	0			False			nb:ParticipantID								Alyssa				
ds005366	age	Int64	Age of the participant at time of testing	63	0		years	False	6	89	nb:Age								Alyssa			nb:FromFloat	
ds005366	handedness	string	Dominant hand of the participant	3	0	R, L, A		True											Alyssa				
ds005366	participant_id	string	Unique participant identifier	155	0			False			nb:ParticipantID								Alyssa				
ds005366	participant_type	string	Reason for data collection from the participant	2	0	healthy, patient		True											Alyssa				
ds005366	sex	string	Biological sex of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds005385	age	Int64	Age of the participant	51	0		years	False	20	70	nb:Age								Alyssa			nb:FromFloat	
ds005385	handedness	string	handedness of the participant as obtained from the Edinburgh Handedness Inventory	2	2	left, right		True											Alyssa				
ds005385	late_ses1	Int64	there are late trigger in datasets; datasets are probable not continuous	60	0		count	False	0	2370									Alyssa				
ds005385	late_ses2	Int64	there are late trigger in datasets; datasets are probable not continuous	7	400		count	True	0	136									Alyssa				
ds005385	participant_id	string	IDs	608	0			False			nb:ParticipantID								Alyssa				
ds005385	session1	string	participant took part in session 1	1	0		yes/no	True											Alyssa				
ds005385	session2	string	participant took part in session 2	2	0		yes/no	True											Alyssa				
ds005385	sex	string	Sex of the participant	2	0	M, F		True			nb:Sex								Alyssa				
ds005398	age	Int64	Age of the participant in years	29	0		years	False	2	44	nb:Age								Alyssa			nb:FromFloat	
ds005398	Engel_Class1	Int64	Engel_Class1. 1 means yes, 0 means others	2	23	1, 0		True	0	1		nb:Assessment	n/a	n/a	not found	medium	correct	no term available	Alyssa				
ds005398	methods	Int64	Grid 1; SEEG 0	2	0	1, 0		True	0	1									Alyssa				
ds005398	participant_id	string	Unique participant identifier	185	0			False			nb:ParticipantID								Alyssa				
ds005398	pathology	Int64	Pathology. HS 1; FCD 2; Tumor 3; Others 4	4	23	1, 2, 3, 4		True	1	4									Alyssa				
ds005398	resection	Int64	Resection status. 1 means has resection, 0 means no	2	0	1, 0		True	0	1									Alyssa				
ds005398	sampling_frequency	Int64	EEG sampling frequency in Hz	2	0		Hz	True	1000	2000									Alyssa				
ds005398	sex	Int64	Sex of the participant as reported by the participant	2	0	1, 0		True	0	1	nb:Sex								Alyssa				
ds005449	age	Int64	Age of the participant	12	20		year	False	18	29	nb:Age								Alyssa			nb:FromFloat	
ds005449	participant_id	string		125	0			False			nb:ParticipantID								Alyssa				
ds005449	sex	string	Sex of the participant as reported by the participant	2	20	male, female		True			nb:Sex								Alyssa				
ds005460	actions	Int64	What actions do you consider most important in addressing climate change?	5	0		Points on a scale, where: 1 - Collective actions (by states, institutions, corporations), 5 - Individual actions (by ordinary people)	True	1	5									Alyssa				
ds005460	age	Int64	Age	8	0		Years	True	19	26	nb:Age								Alyssa			nb:FromFloat	
ds005460	car	Int64	How often do you use a car (e.g. as a driver or a passenger)?	4	0	0, 1, 2, 3		True	0	3									Alyssa				
ds005460	CCC	Int64	How concerned are you about climate change?	5	0	0, 1, 2, 3, 4		True	0	4									Alyssa				
ds005460	condition	string	Experimental condition to which the participant belonged	3	0	ANG, HOP, NEU		True											Alyssa				
ds005460	driver	Int64	Do you have a driver's license?	2	0	0, 1		True	0	1									Alyssa				
ds005460	education	Int64	Education level	4	0	0, 1, 2, 3, 4, 5, 6, 7, 8		True	3	6									Alyssa				
ds005460	ICE_anger	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate anger	13	0		Total score	False	4	16		nb:Assessment	273306008	Beck anger inventory	Beck depression inventory	medium	incorrect	no term available	Alyssa				
ds005460	ICE_anxiety	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate anxiety	14	0		Total score	False	3	16		nb:Assessment	273307004	Beck anxiety standardized rating scale	Beck anxiety standardized rating scale	medium	incorrect	no term available	Alyssa				
ds005460	ICE_discontent	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate discontent	15	0		Total score	False	0	14		nb:Assessment	273365005	Impact of event scale	Clifton assessment procedures for the elderly	medium	incorrect	no term available	Alyssa				
ds005460	ICE_enthusiasm	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate enthusiasm	17	0		Total score	False	0	16		nb:Assessment	273865002	Positive and negative affect schedule	Tender joint count	medium	incorrect	no term available	Alyssa				
ds005460	ICE_guilt	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate guilt	16	0		Total score	False	0	15		nb:Assessment	273304009	Beck hopelessness scale	not found	medium	incorrect	no term available	Alyssa				
ds005460	ICE_isolation	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate isolation	13	0		Total score	False	0	12		nb:Assessment	273306008	Beck anger inventory	Beck depression inventory	medium	incorrect	no term available	Alyssa				
ds005460	ICE_powerlessness	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate powerlessness	16	0		Total score	False	0	16		nb:Assessment	273307004	Beck anxiety standardized rating scale	Beck anxiety standardized rating scale	medium	incorrect	no term available	Alyssa				
ds005460	ICE_sorrow	Int64	Inventory of Climate Emotions (Marczak et al. 2023) - Climate sorrow	14	0		Total score	False	1	16		nb:Assessment	273365005	Impact of event scale	Clifton assessment procedures for the elderly	medium	incorrect	no term available	Alyssa				
ds005460	lifestyle	Int64	Compared to other people, do you consider your lifestyle ...?	4	0		Points on a scale, where: 1 - Definitely climate-unfriendly, 5 - Definitely climate-friendly	True	2	5							incorrect	no term available	Alyssa				
ds005460	NR	Int64	Nature Relatedness (Nisbet & Zelenski, 2013)	19	0		Total score	False	5	23		nb:Assessment	273590008	Medical outcomes study short form general health survey	McCormick miniature toy discrimination test	medium	incorrect	no term available	Alyssa				
ds005460	participant_id	string		160	0			False			nb:ParticipantID								Alyssa				
ds005460	PCAE	Int64	Personal and Collective Action Efficacy (Chu & Yang, 2020)	12	0		Total score	False	5	16		nb:Assessment	273650002	Patient Satisfaction Questionnaire	not found	medium	incorrect	no term available	Alyssa				
ds005460	PCAE_c	Int64	Personal and Collective Action Efficacy (Chu & Yang, 2020) - Collective efficacy	6	0		Total score	True	3	8		nb:Assessment	273683001	Modified Strengths and Difficulties Questionnaire 8 - Parent	not found	medium	incorrect	no term available	Alyssa				
ds005460	PCAE_i	Int64	Personal and Collective Action Efficacy (Chu & Yang, 2020) - Individual efficacy	8	0		Total score	True	1	8		nb:Assessment	273515002	Health status index	Hearing handicap inventory for the elderly	medium	incorrect	no term available	Alyssa				
ds005460	PD	Int64	Psychological Distance to Climate Change (Valkengoed, Steg & Perlaviciute, 2021)	11	0		Total score	False	2	12		nb:Assessment	273623005	Disability rating scale	Modified card sorting test	medium	incorrect	no term available	Alyssa				
ds005460	politics1	Int64	Do you have any political views?	2	0	0, 1		True	0	1									Alyssa				
ds005460	politics2	Int64	In politics, the terms /left/ and /right/ are used. Can you describe your political views using these terms?	2	58	0, 1		True	0	1									Alyssa				
ds005460	politics3	Int64	Please indicate your political views.	11	76		Points on a scale, where: 0 - Left, 10 - Right	False	0	10									Alyssa				
ds005460	residence	Int64	Place of residence	5	0	0, 1, 2, 3, 4		True	0	4									Alyssa				
ds005460	SES	Int64	Which of the descriptions below comes closest to how you feel about your household income nowadays?	3	0	0, 1, 2, 3		True	0	2									Alyssa				
ds005460	sex	Int64	Sex	2	0	0, 1		True	0	1	nb:Sex								Alyssa				
ds005498	Age	Int64		36	0			False	18	61	nb:Age								Alyssa			nb:FromFloat	
ds005498	Current Alcohol Use	Int64		2	0			True	0	1									Alyssa				
ds005498	Current Drug Use	Int64		2	0			True	0	1									Alyssa				
ds005498	Current GAD	Int64		2	0			True	0	1		nb:Assessment	1802241000000106	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	high	incorrect	not an assessment	Alyssa				
ds005498	Current MDD	Int64		2	0			True	0	1		nb:Assessment	273941004	Zung's self-rating depression scale	Zung's anxiety status inventory	high	incorrect	not an assessment	Alyssa				
ds005498	Current PTSD Diagnosis	Int64		2	0			True	0	1		nb:Assessment	481281000000100	PCL-5 - post-traumatic stress disorder checklist for DSM-5	PCL-5 - post-traumatic stress disorder checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition)	high	incorrect	not an assessment	Alyssa				
ds005498	Diagnosis Other Misc	Int64		2	0			True	0	1									Alyssa				
ds005498	Ethnicity	Int64		3	0			True	1	3									Alyssa				
ds005498	FAS Percentile	Int64		10	0			False	10	133							missed	assessment (but we have no term)	Alyssa				
ds005498	FAS Raw	Int64		45	0			False	21	136							missed	assessment (but we have no term)	Alyssa				
ds005498	GAD-7 Score	Int64		22	5			False	0	21		nb:Assessment	1802241000000106	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	high	incorrect	wrong term	Alyssa	704501007			
ds005498	Gender	Int64		3	0			True	1	3	nb:Sex								Alyssa				
ds005498	IQ Percentile	Int64		37	5			False	7	99		nb:Assessment	621121000124108	Wechsler adult intelligence scale	Childhood trauma questionnaire short form	high	incorrect	ambiguous	Alyssa				
ds005498	IQ_Score	Int64		47	5			False	78	141		nb:Assessment	621121000124108	Wechsler adult intelligence scale	Childhood trauma questionnaire short form	high	incorrect	ambiguous	Alyssa				
ds005498	L-aMFG Scan ( Minus32x42x34)	Int64		2	0			True	0	1									Alyssa				
ds005498	L-FP Scan (Minus24x60xMinus2)	Int64		2	0			True	0	1									Alyssa				
ds005498	L-pMFG Scan (Minus38x22x48)	Int64		2	0			True	0	1									Alyssa				
ds005498	Last Month CAPS-5	Int64		45	49			False	0	104		nb:Assessment	481281000000100	PCL-5 - post-traumatic stress disorder checklist for DSM-5	PCL-5 - post-traumatic stress disorder checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition)	high	incorrect	term not available but LLM chose closest match	Alyssa				
ds005498	Lifetime CAPS-5	Int64		62	50			False	0	128		nb:Assessment	481281000000100	PCL-5 - post-traumatic stress disorder checklist for DSM-5	PCL-5 - post-traumatic stress disorder checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition)	high	incorrect	term not available but LLM chose closest match	Alyssa				
ds005498	Lifetime GAD	Int64		2	0			True	0	1		nb:Assessment	1802241000000106	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	high	incorrect	not assessment	Alyssa				
ds005498	Lifetime MDD	Int64		2	0			True	0	1		nb:Assessment	273941004	Zung's self-rating depression scale	Zung's anxiety status inventory	high	incorrect	not assessment	Alyssa				
ds005498	Lifetime PTSD Diagnosis	Int64		2	0			True	0	1		nb:Assessment	481281000000100	PCL-5 - post-traumatic stress disorder checklist for DSM-5	PCL-5 - post-traumatic stress disorder checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition)	high	incorrect	not assessment	Alyssa				
ds005498	Motor Threshold	Int64		22	49			False	50	83									Alyssa				
ds005498	No Diagnosis	Int64		2	0			True	0	1									Alyssa				
ds005498	OCD	Int64		2	0			True	0	1									Alyssa				
ds005498	Other Phobias	Int64		2	0			True	0	1									Alyssa				
ds005498	Panic Disorder	Int64		2	0			True	0	1									Alyssa				
ds005498	participant_id	string		152	0			False			nb:ParticipantID								Alyssa				
ds005498	Past Alcohol or Drug Use	Int64		2	0			True	0	1									Alyssa				
ds005498	PCL-5 Score	Int64		46	52			False	0	83		nb:Assessment	481281000000100	PCL-5 - post-traumatic stress disorder checklist for DSM-5	PCL-5 - post-traumatic stress disorder checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition)	high	correct		Alyssa				
ds005498	PHQ-9 Score	Int64		23	3			False	0	24		nb:Assessment	273941004	Zung's self-rating depression scale	Zung's anxiety status inventory	high	incorrect	wrong term	Alyssa	758711000000105			
ds005498	Positive Urine Tox Results	Int64		2	0			True	0	1									Alyssa				
ds005498	R-aMFG Scan (30x50x26)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-FEF Scan (34x6x62)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-FP Scan (24x60xMinus2)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-IFJ Scan (50x10x28)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-IPL Scan (48xMinus54x46)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-M1 Scan (40xMinus18x64)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-pMFG Scan (46x26x38)	Int64		2	0			True	0	1									Alyssa				
ds005498	R-preSMA Scan (6x2x70)	Int64		2	0			True	0	1									Alyssa				
ds005498	Race	Int64		7	0			True	2	8									Alyssa				
ds005498	Resting Scan	Int64		2	0			True	0	1									Alyssa				
ds005498	Social Phobias	Int64		2	0			True	0	1									Alyssa				
ds005498	Stimulation Percent	Int64		27	1			False	60	10076									Alyssa				
ds005498	Trauma Criterion A	Int64		2	0			True	0	1									Alyssa				
ds005498	WASI Matrix Raw	Int64		16	3			False	10	35		nb:Assessment	621121000124108	Wechsler adult intelligence scale	Childhood trauma questionnaire short form	high	incorrect	right label, wrong term	Alyssa	273916006			
ds005498	WASI Matrix T Score	Int64		27	3			False	20	70		nb:Assessment	621121000124108	Wechsler adult intelligence scale	Childhood trauma questionnaire short form	high	incorrect	right label, wrong term	Alyssa	273916006			
ds005498	WASI Matrix Total	Int64		51	3			False	71	144		nb:Assessment	621121000124108	Wechsler adult intelligence scale	Childhood trauma questionnaire short form	high	incorrect	right label, wrong term	Alyssa	273916006			
ds005498	WASI Vocabulary Raw	Int64		33	0			False	29	80							missed	assessment	Alyssa	273916006			
ds005498	WASi Vocabulary T Score	Int64		38	0			False	21	78							missed	assessment	Alyssa	273916006			
ds005498	Years of Education	Int64		10	0			False	12	21									Alyssa				
ds005505	age	Float64	Age in years	134	0			False	5.162000000000001	21.674	nb:Age								Alyssa			nb:FromFloat	
ds005505	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	128	4			False	-1.786	2.406		nb:Assessment	311406000	Attention process training questionnaire	Everyday memory questionnaire	high	incorrect	ambiguous	Alyssa				
ds005505	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True											Alyssa				
ds005505	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True									missed	assessment, no term available	Alyssa				
ds005505	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True									missed	assessment, no term available	Alyssa				
ds005505	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True									missed	assessment, no term available	Alyssa				
ds005505	DespicableMe	string	Availability status of watching the Despicable Me	2	0			True											Alyssa				
ds005505	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	2	0			True											Alyssa				
ds005505	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	51	2			False	-100.05	100.05		nb:Assessment	273257009	Edinburgh Handedness Questionnaire	Acute physiology and chronic health evaluation	high	incorrect	term correct but not available	Alyssa				
ds005505	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	127	4			False	-2.217	1.857		nb:Assessment	273364009	Externalizing behavior assessment	Crohn's Disease Activity Index	high	incorrect	term looks correct but ambiguous	Alyssa				
ds005505	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True											Alyssa				
ds005505	FunwithFractals	string	Availability status of watching the Fun with Fractals	2	0			True											Alyssa				
ds005505	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	130	4			False	-1.48	1.949		nb:Assessment	273375008	Internalizing behavior assessment	Cognitive failures questionnaire	high	incorrect	term looks correct but ambiguous	Alyssa				
ds005505	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	127	4			False	-1.909	2.144		nb:Assessment	276571000000104	Psychiatric disorder comorbidity assessment	not found	medium	incorrect	term looks correct but ambiguous	Alyssa				
ds005505	participant_id	string	The prticipant ID set in the HBN dataset	136	0			False			nb:ParticipantID								Alyssa				
ds005505	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True											Alyssa				
ds005505	RestingState	string	Availability status of the resting state task	1	0			True											Alyssa				
ds005505	seqLearning6target	string		2	0			True											Alyssa				
ds005505	seqLearning8target	string		2	0			True											Alyssa				
ds005505	sex	string	Gender	2	0	F, M		True			nb:Sex								Alyssa				
ds005505	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	2	0			True									missed	assessment, no term available	Alyssa				
ds005505	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	2	0			True									missed	assessment, no term available	Alyssa				
ds005505	symbolSearch	string	Availability status of the symbol search task	3	0			True									missed	assessment, no term available	Alyssa				
ds005505	ThePresent	string	Availability status of watching the The Present	2	0			True											Alyssa				
ds005506	age	Float64	Age in years	149	0			False	5.0360000000000005	18.5425	nb:Age								Alyssa			nb:FromFloat	
ds005506	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	143	3			False	-1.779	2.149		nb:Assessment	311474001	Attention process training test	Attentional capacity test	medium	incorrect	Vague descriptoin and column name not sure which term matches it best	Arman				
ds005506	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005506	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005506	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005506	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005506	DespicableMe	string	Availability status of watching the Despicable Me	3	0			True															
ds005506	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005506	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	56	6			False	-96.72	100.05		nb:Assessment	273505008	Hearing handicap inventory for the elderly	Hampshire assessment for living with others	medium	incorrect		Arman				
ds005506	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	142	3			False	-1.931	2.185		nb:Assessment	273312003	Behavior problem checklist	Behavior problem checklist	medium	incorrect	Unsure whether the column belongs to the behaviour problem checklist	Arman				
ds005506	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005506	FunwithFractals	string	Availability status of watching the Fun with Fractals	2	0			True															
ds005506	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	142	3			False	-1.714	3.298		nb:Assessment	273503001	Hamilton rating scale for depression	Hamilton rating scale for depression	medium	incorrect	Unsure whether the column belongs to Hamilton rating scale for depression	Arman				
ds005506	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	142	3			False	-1.909	3.504		nb:Assessment	273364009	Crohn's Disease Activity Index	Crohn's Disease Activity Index	medium	incorrect		Arman				
ds005506	participant_id	string	The prticipant ID set in the HBN dataset	150	0			False			nb:ParticipantID												
ds005506	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005506	RestingState	string	Availability status of the resting state task	2	0			True															
ds005506	seqLearning6target	string		2	0			True															
ds005506	seqLearning8target	string		2	0			True															
ds005506	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005506	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005506	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	2	0			True															
ds005506	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005506	ThePresent	string	Availability status of watching the The Present	2	0			True															
ds005507	age	Float64	Age in years	183	0			False	5.0414	20.9982	nb:Age											nb:FromFloat	
ds005507	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	174	4			False	-1.992	2.117		nb:Assessment	311474001	Attention process training test	Attentional capacity test	high	incorrect		Arman				
ds005507	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005507	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005507	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005507	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005507	DespicableMe	string	Availability status of watching the Despicable Me	3	0			True															
ds005507	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005507	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	69	6			False	-100.05	100.05		nb:Assessment	326172000	Edinburgh Handedness Questionnaire	not found	high	incorrect	Right label but we don't have a term	Arman				
ds005507	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	167	4			False	-1.901	1.973		nb:Assessment	165270003	Physical disability assessment score	Physical disability assessment score	medium	incorrect	Unsure whether I picked the correct term	Arman				
ds005507	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005507	FunwithFractals	string	Availability status of watching the Fun with Fractals	3	0			True															
ds005507	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	172	4			False	-1.702	2.594		nb:Assessment	1802241000000106	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	high	incorrect		Arman				
ds005507	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	171	4			False	-1.909	2.584		nb:Assessment	1303711000000100	Profile of executive control system	not found	medium	incorrect		Arman				
ds005507	participant_id	string	The prticipant ID set in the HBN dataset	184	0			False			nb:ParticipantID												
ds005507	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005507	RestingState	string	Availability status of the resting state task	2	0			True															
ds005507	seqLearning6target	string		2	0			True															
ds005507	seqLearning8target	string		3	0			True															
ds005507	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005507	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005507	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	3	0			True															
ds005507	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005507	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005508	age	Float64	Age in years	321	0			False	5.0414	20.8418	nb:Age											nb:FromFloat	
ds005508	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	295	6			False	-1.861	2.205		nb:Assessment	81111000119100	Attention process training questionnaire	not found	medium	incorrect	Found the correct label though	Arman				
ds005508	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005508	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005508	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005508	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005508	DespicableMe	string	Availability status of watching the Despicable Me	3	0			True															
ds005508	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005508	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	79	1			False	-100.05	100.05		nb:Assessment	1231438009	Medication Adherence Rating Scale	Medication Adherence Rating Scale	medium	incorrect	Wrong assessment guess	Arman				
ds005508	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	291	6			False	-1.528	2.283		nb:Assessment	81111000119100	Attention process training questionnaire	not found	medium	incorrect	wrong assessment guess	Arman				
ds005508	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005508	FunwithFractals	string	Availability status of watching the Fun with Fractals	2	0			True															
ds005508	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	293	6			False	-1.975	2.469		nb:Assessment	1231454007	Hamilton Anxiety Rating Scale	Hamilton Anxiety Rating Scale	medium	incorrect	Unsure whether the Hamilton Anxiety Rating Scale matches the column and its description	Arman				
ds005508	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	300	6			False	-1.909	2.325		nb:Assessment	1231516005	Social Anxiety Scale for Children-Revised	Social Anxiety Scale for Children-Revised	medium	incorrect	Wrong assessment guess	Arman				
